통계표,"8.4.5 교역조건지수"
항목명1,"소득교역조건지수"
단위,"2010=100"
변환,"원자료"
2011/11,"104.15"
2011/12,"105.24"
2012/01,"92"
2012/02,"101.89"
2012/03,"103.24"
2012/04,"97.32"
2012/05,"102.64"
2012/06,"106.74"
2012/07,"110.1"
2012/08,"103.39"
2012/09,"109.56"
2012/10,"109.25"
2012/11,"113.45"
2012/12,"106.97"
2013/01,"108.7"
2013/02,"100.6"
2013/03,"111.16"
2013/04,"112.47"
2013/05,"119.09"
2013/06,"110.91"
2013/07,"114.24"
2013/08,"112.56"
2013/09,"109.29"
2013/10,"122.54"
2013/11,"118.45"
2013/12,"114.57"
2014/01,"109.93"
2014/02,"105.97"
2014/03,"119.63"
2014/04,"123.5"
2014/05,"115.54"
2014/06,"112.73"
2014/07,"119.61"
2014/08,"111.56"
2014/09,"117.3"
2014/10,"127.51"
2014/11,"123.64"
2014/12,"133.86"
2015/01,"126.14"
2015/02,"116.57"
2015/03,"138.74"
2015/04,"139.41"
2015/05,"129.91"
2015/06,"136.42"
2015/07,"138.14"
2015/08,"126.22"
2015/09,"141.71"
2015/10,"146.14"
2015/11,"135.57"
2015/12,"142.48"
2016/01,"123.09"
2016/02,"125.85"
2016/03,"150.46"
