통계표,"8.4.5 교역조건지수"
항목명1,"순상품교역조건지수"
단위,"2010=100"
변환,"원자료"
2011/11,"87.61"
2011/12,"85.97"
2012/01,"87.24"
2012/02,"87.44"
2012/03,"86.31"
2012/04,"84.56"
2012/05,"84.61"
2012/06,"85.89"
2012/07,"89.53"
2012/08,"89.5"
2012/09,"87.63"
2012/10,"86.49"
2012/11,"87.29"
2012/12,"88.27"
2013/01,"88.94"
2013/02,"89.02"
2013/03,"88.01"
2013/04,"88.71"
2013/05,"89.73"
2013/06,"90.54"
2013/07,"90.91"
2013/08,"90.41"
2013/09,"89.74"
2013/10,"89.28"
2013/11,"89.68"
2013/12,"89.89"
2014/01,"88.39"
2014/02,"89.26"
2014/03,"88.91"
2014/04,"89.16"
2014/05,"89.33"
2014/06,"89.4"
2014/07,"89.19"
2014/08,"89.64"
2014/09,"90.31"
2014/10,"90.48"
2014/11,"92.4"
2014/12,"93.37"
2015/01,"95.99"
2015/02,"100.39"
2015/03,"98.93"
2015/04,"99.63"
2015/05,"100.75"
2015/06,"100.09"
2015/07,"99.72"
2015/08,"99.98"
2015/09,"101.55"
2015/10,"101.51"
2015/11,"100.83"
2015/12,"100.69"
2016/01,"101.12"
2016/02,"103.49"
2016/03,"104.01"
